"","fips_state_code","mean_sales","t_corp","t_corp_sales"
"1",1,0.00849226098711786,0.0649999976158142,0.0216709990054369
"2",2,NA,0.0939999967813492,0.0313395969569683
"3",4,0.0434873273341317,0.0696799978613853,0.0557439997792244
"4",5,0.00362524044159065,0.0649999976158142,0.0324999988079071
"5",6,0.217576230305371,0.0883999988436699,0.0441999994218349
"6",8,0.0258369313794421,0.0463000014424324,0.0463000014424324
"7",9,0.0078174547404616,0.0750000029802322,0.0375000014901161
"8",10,0.0034854628992119,0.0869999974966049,0.0290057994425297
"9",12,0.0710606770851065,0.0549999997019768,0.0274999998509884
"10",13,0.0157820958896929,0.0599999986588955,0.0599999986588955
"11",15,NA,0.0640000030398369,0.0213376004248857
"12",16,0.00544775972163095,0.0759999975562096,0.0379999987781048
"13",17,0.0552736744993161,0.0729999989271164,0.0729999989271164
"14",18,0.0143449244100293,0.0850000008940697,0.0764999985694885
"15",19,0.00974745433086606,0.119999997317791,0.119999997317791
"16",20,0.00665879667982074,0.0705000013113022,0.023504700511694
"17",21,0.00845444594977323,0.0599999986588955,0.0299999993294477
"18",22,0.012684395889567,0.0799999982118607,0.0799999982118607
"19",23,0.00295245993416134,0.0893000066280365,0.0893000066280365
"20",24,0.0230235807460382,0.0825000032782555,0.0412500016391277
"21",25,0.0127112830181514,0.0874999985098839,0.0437499992549419
"22",26,0.0240013828516277,0.0494999997317791,0.0494999997317791
"23",27,0.033018386083081,0.0980000048875809,0.0852600038051605
"24",28,0.00346071863391266,0.0500000007450581,0.016669999808073
"25",29,0.0163817402436203,0.0625,0.0208375006914139
"26",30,0.00624620372335716,0.067500002682209,0.0225044991821051
"27",31,0.00533919211520595,0.0780999958515167,0.0780999958515167
"28",32,0.0133079900998007,0,0
"29",33,0.00331004255305844,0.0850000008940697,0.0425000004470348
"30",34,0.0207181503715625,0.0900000035762787,0.0450000017881393
"31",35,0.00578021019362906,0.0759999975562096,0.0253384001553059
"32",36,0.0385308816150693,0.0710000023245811,0.0710000023245811
"33",37,0.0168044476382761,0.0689999982714653,0.0344999991357327
"34",38,0.002085324775655,0.0640000030398369,0.0213376004248857
"35",39,0.0233812403187321,0.0850000008940697,0.0509999990463257
"36",40,0.00789732705833729,0.0599999986588955,0.0200040005147457
"37",41,0.0221671495525438,0.0790000036358833,0.0790000036358833
"38",42,0.0263275410743965,0.0998999997973442,0.0899100005626678
"39",44,0.00161577591970651,0.0900000035762787,0.0300060007721186
"40",45,0.00692310615037903,0.0500000007450581,0.0500000007450581
"41",46,0.00230824069283748,0,0
"42",47,0.0145827751958636,0.0649999976158142,0.0324999988079071
"43",48,0.0571625406616136,0,0
"44",49,0.00485104828226484,0.0500000007450581,0.025000000372529
"45",50,0.000895361823131831,0.0850000008940697,0.0425000004470348
"46",51,0.0213614512138474,0.0599999986588955,0.0299999993294477
"47",53,0.0414903547384363,0,0
"48",54,0.00331797697986756,0.0850000008940697,0.0425000004470348
"49",55,0.0212467290759582,0.0790000036358833,0.0790000036358833
"50",56,0.0032575904604746,0,0
